Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",20.500000,-13.500000,0.000000,top
"C2","10n","C_0805_2012Metric",7.500000,-16.500000,0.000000,top
"D1","O1","LED_0805_2012Metric",8.000000,-26.800000,90.000000,top
"D2","O2","LED_0805_2012Metric",12.800000,-26.800000,90.000000,top
"D3","O3","LED_0805_2012Metric",17.600000,-26.800000,90.000000,top
"D4","O4","LED_0805_2012Metric",22.400000,-26.800000,90.000000,top
"JEXT","EXT-POT","PinHeader_1x03_P2.54mm_Vertical",18.000000,-4.000000,90.000000,top
"JOUT","OUT","PinHeader_1x06_P2.54mm_Vertical",26.500000,-10.000000,0.000000,top
"JP1","POT-SEL","PinHeader_1x03_P2.54mm_Vertical",14.500000,-8.500000,90.000000,top
"JPWR","PWR","PinHeader_1x02_P2.54mm_Vertical",3.800000,-19.000000,0.000000,top
"R1","1k","R_0805_2012Metric",8.000000,-22.000000,-90.000000,top
"R2","1k","R_0805_2012Metric",12.800000,-22.000000,-90.000000,top
"R3","1k","R_0805_2012Metric",17.600000,-22.000000,-90.000000,top
"R4","1k","R_0805_2012Metric",22.400000,-22.000000,-90.000000,top
"R5","10k","R_0805_2012Metric",7.500000,-13.500000,0.000000,top
"RV1","10k","Potentiometer_Bourns_3296W_Vertical",8.200000,-6.500000,0.000000,top
"U1","ATtiny85","SOIC-8_3.9x4.9mm_P1.27mm",14.000000,-15.500000,0.000000,top
